task,method,kind,path,true_class,method_prediction,erm_prediction,confidence
task2,Source-only,confident_error,sketch/giraffe/08084.jpg,giraffe,horse,horse,1.0
task2,Source-only,confident_error,sketch/giraffe/07719.jpg,giraffe,horse,horse,0.9998
task2,Source-only,confident_error,sketch/giraffe/08313.jpg,giraffe,horse,horse,0.9997
task2,Source-only,confident_error,sketch/giraffe/07752.jpg,giraffe,horse,horse,0.9997
task2,Source-only,confident_error,sketch/giraffe/07755.jpg,giraffe,horse,horse,0.9997
task2,DAN,confident_error,sketch/dog/06115.jpg,dog,person,elephant,0.9996
task2,DAN,confident_error,sketch/dog/06566.jpg,dog,horse,horse,0.9986
task2,DAN,confident_error,sketch/dog/06646.jpg,dog,horse,horse,0.9984
task2,DAN,confident_error,sketch/giraffe/08084.jpg,giraffe,horse,horse,0.9975
task2,DAN,confident_error,sketch/elephant/07173.jpg,elephant,dog,dog,0.9963
task2,DAN,fixed_vs_erm,sketch/house/09783.jpg,house,house,horse,0.9999
task2,DAN,fixed_vs_erm,sketch/house/09800.jpg,house,house,horse,0.9999
task2,DAN,fixed_vs_erm,sketch/house/09771.jpg,house,house,elephant,0.9999
task2,DAN,fixed_vs_erm,sketch/person/09972.jpg,person,person,elephant,0.9999
task2,DAN,fixed_vs_erm,sketch/person/09915.jpg,person,person,elephant,0.9999
task2,DAN,broken_vs_erm,sketch/dog/06376.jpg,dog,person,dog,0.9944
task2,DAN,broken_vs_erm,sketch/elephant/06872.jpg,elephant,house,elephant,0.9935
task2,DAN,broken_vs_erm,sketch/horse/09183.jpg,horse,dog,horse,0.9919
task2,DAN,broken_vs_erm,sketch/horse/09289.jpg,horse,dog,horse,0.9912
task2,DAN,broken_vs_erm,sketch/elephant/06837.jpg,elephant,house,elephant,0.9888
task2,DANN,confident_error,sketch/horse/09252.jpg,horse,elephant,horse,0.9988
task2,DANN,confident_error,sketch/dog/06148.jpg,dog,elephant,elephant,0.9962
task2,DANN,confident_error,sketch/dog/06094.jpg,dog,elephant,elephant,0.996
task2,DANN,confident_error,sketch/dog/06115.jpg,dog,elephant,elephant,0.9955
task2,DANN,confident_error,sketch/dog/06065.jpg,dog,elephant,elephant,0.9948
task2,DANN,fixed_vs_erm,sketch/guitar/08481.jpg,guitar,guitar,elephant,0.9996
task2,DANN,fixed_vs_erm,sketch/guitar/08680.jpg,guitar,guitar,dog,0.9984
task2,DANN,fixed_vs_erm,sketch/house/09809.jpg,house,house,elephant,0.9982
task2,DANN,fixed_vs_erm,sketch/house/09783.jpg,house,house,horse,0.9973
task2,DANN,fixed_vs_erm,sketch/guitar/08681.jpg,guitar,guitar,giraffe,0.9973
task2,DANN,broken_vs_erm,sketch/horse/09252.jpg,horse,elephant,horse,0.9988
task2,DANN,broken_vs_erm,sketch/horse/09183.jpg,horse,dog,horse,0.987
task2,DANN,broken_vs_erm,sketch/giraffe/07978.jpg,giraffe,horse,giraffe,0.9654
task2,DANN,broken_vs_erm,sketch/horse/09355.jpg,horse,dog,horse,0.9526
task2,DANN,broken_vs_erm,sketch/horse/09145.jpg,horse,dog,horse,0.9517
task2,CDAN,confident_error,sketch/dog/06475.jpg,dog,person,person,1.0
task2,CDAN,confident_error,sketch/elephant/07447.jpg,elephant,person,elephant,1.0
task2,CDAN,confident_error,sketch/elephant/07055.jpg,elephant,person,person,1.0
task2,CDAN,confident_error,sketch/dog/06163.jpg,dog,person,person,1.0
task2,CDAN,confident_error,sketch/elephant/07044.jpg,elephant,person,elephant,1.0
task2,CDAN,fixed_vs_erm,sketch/house/09783.jpg,house,house,horse,1.0
task2,CDAN,fixed_vs_erm,sketch/house/09791.jpg,house,house,horse,1.0
task2,CDAN,fixed_vs_erm,sketch/house/09802.jpg,house,house,elephant,1.0
task2,CDAN,fixed_vs_erm,sketch/house/09828.jpg,house,house,horse,1.0
task2,CDAN,fixed_vs_erm,sketch/house/09809.jpg,house,house,elephant,1.0
task2,CDAN,broken_vs_erm,sketch/elephant/07447.jpg,elephant,person,elephant,1.0
task2,CDAN,broken_vs_erm,sketch/elephant/07044.jpg,elephant,person,elephant,1.0
task2,CDAN,broken_vs_erm,sketch/elephant/07539.jpg,elephant,person,elephant,1.0
task2,CDAN,broken_vs_erm,sketch/elephant/07293.jpg,elephant,person,elephant,1.0
task2,CDAN,broken_vs_erm,sketch/dog/06528.jpg,dog,person,dog,1.0
